SampleID,plot id,BE_plots,sampling_round,sampling_year,Potassium 1 (1. fraction - mg/100g),Potassium 2 (2. fraction - mg/100g),Calcium 1 (1. fraction - mg/100g),Calcium 2 (2.fraction - mg/100g),Magnesium 1 (1.fraction - mg/100g),Magnesium 2 (2.fraction - mg/100g),Boron 1 (1. fraction - mg/1000g),Boron 2 (2. fraction - mg/1000g),Sodium (1. +2. fraction - mg/100g),Sulfur at ICP 1 (1. fraction - mg/100g),Sulfur at ICP 2 (2.fraction - mg/100g),Phosphorous at ICP 1 (1. fraction - mg/100g),Phosphorous at ICP 2 (2. fraction - mg/100g),Nitrate - NO3 (1.fraction - mg/100g),org. Nitrogen (1. + 2.fraction - mg/100g),org. Nitrogen 1(1. fraction - mg/100g),org. Nitrogen 2 (2.fraction - mg/100g),mikroml - amount of extract in 3.fraction (in ml),Fe3 (3.fraction - mg/1000g),Mn3 (3.fraction - mg/1000g),Zn3 (3.fraction - mg/1000g),Cu3 (3.fraction - mg/1000g),P total (1. +2. fraction - mg/100g),K total (1.+2. fraction - mg/100g),Ca total (1.+2.fraction - mg/100g),Mg total (1.+2. fraction - mg/100g),Bor total (1.+2. fraction - mg/100g),S total (1.+2. fraction - mg/100g)
FD_SGM_1,AEG08,AEG08,R1,2022,5.51,5.19,47.26,39.75,1.17,0.47,0.51,0.56,0.61,0.89,0.29,0.31,0.15,0.73,2.66,1.79,0.88,79.61,56.95,2.37,1.8,1.37,0.27,10.7,87.01,1.64,1.07,1.18
FD_SGM_2,AEG28,AEG28,R1,2022,4.33,4.25,40.95,33.39,1.06,0.41,0.31,0.3,0.62,0.77,0.32,0.62,0.52,0.41,2.4,1.56,0.84,81.3,66.15,1.17,2.36,1.76,1.14,8.58,74.34,1.47,0.61,1.09
FD_SGM_3,AEG32,AEG32,R1,2022,4.12,3.55,32.97,27.29,1.21,0.4,0.12,0.19,0.8,0.67,0.23,1.24,0.85,0.37,2.43,1.64,0.79,86.4,130.78,0.96,7.97,2.35,2.1,7.67,60.26,1.61,0.31,0.9
FD_SGM_4,AEG33,AEG33,R1,2022,0.43,0.26,3.71,1.4,0.2,0.06,0.18,0.17,0.38,0.35,0.14,0.23,0.11,0.92,1.19,0.74,0.45,78.4,46.9,14.8,1.1,0.96,0.18,0.69,5.11,0.26,0.35,0.49
FD_SGM_5,AEG34,AEG34,R1,2022,4.05,3.44,32.84,30.34,0.68,0.24,0.3,0.25,0.66,0.57,0.21,0.71,0.29,0.43,2.55,1.75,0.8,85.28,95.58,1.82,2.23,2.1,0.86,7.49,63.18,0.92,0.55,0.78
FD_SGM_6,AEG49,AEG49,R1,2022,3.25,2.87,34.57,24.78,1.08,0.4,0.33,0.37,0.61,0.79,0.29,0.42,0.18,1.96,1.58,1.01,0.57,82.7,80.24,4.37,1.84,1.63,0.38,6.12,59.35,1.48,0.7,1.08
FD_SGM_7,B1,X0,R1,2022,3.84,5.68,58.1,76.66,1.37,0.22,0.11,0.14,2.62,0.77,0.4,1.31,1.47,1.89,2.28,1.44,0.84,71.71,66.88,0.74,3.76,1.66,3.27,9.52,134.76,1.59,0.25,1.17
FD_SGM_8,B2,X0,R1,2022,5.33,5.39,51.83,39.91,2.49,0.83,0.3,0.32,3.27,0.73,0.32,2.99,1.8,2.34,2.38,1.57,0.81,90.69,116.1,1.76,4.48,2.43,5.97,10.72,91.74,3.32,0.62,1.05
FD_SGM_9,C1,X0,R1,2022,9.27,9.35,49.56,46.63,1.61,0.51,0.25,0.26,1.94,0.7,0.36,1.14,1.2,1.25,3.14,2.1,1.04,79.18,79.31,6.37,5.91,2.3,2.35,18.62,96.19,2.12,0.51,1.06
FD_SGM_10,C2,X0,R1,2022,17.2,15.66,51.22,75.5,1.69,0.48,0.32,0.13,1.19,0.59,0.18,2.8,1.09,1.93,1.53,1.01,0.52,90.41,116.88,3.35,3.4,2.21,5.96,32.86,126.72,2.17,0.45,0.77
